headline,link,score
A 0-click exploit chain for the Pixel 10 (projectzero.google),vote?id=48148460&how=up&goto=news,115 points
ASCII by Jason Scott (textfiles.com),vote?id=48148726&how=up&goto=news,50 points
O(x)Caml in Space (gazagnaire.org),vote?id=48147058&how=up&goto=news,172 points
I built Zenith: a live local-first fixed viewport planetarium (smorgasb.org),vote?id=48150097&how=up&goto=news,9 points
Explore Wikipedia Like a Windows XP Desktop (samismith.com),vote?id=48146129&how=up&goto=news,337 points
High dimensional geometry is transforming the MRI industry(2017) [pdf] (ams.org),vote?id=48148309&how=up&goto=news,41 points
Trade Dollars with other startups. Book it as revenue (revswap.ai),vote?id=48148084&how=up&goto=news,115 points
A new book on Steve Jobs at NeXT (ieee.org),vote?id=48146908&how=up&goto=news,87 points
Show HN: Watch a neural net learn to play Snake (gradexp.xyz),vote?id=48136981&how=up&goto=news,12 points
We are retiring our bug bounty program (turso.tech),vote?id=48148391&how=up&goto=news,273 points
Radicle: Sovereign {code forge} built on Git (radicle.dev),vote?id=48147603&how=up&goto=news,114 points
Removing the modem and GPS from my 2024 RAV4 hybrid (arkadiyt.com),vote?id=48138136&how=up&goto=news,981 points
Amazon workers under pressure to up their AI usage are making up tasks (fastcompany.com),vote?id=48148337&how=up&goto=news,114 points
"SigNoz (YC W21, open source Datadog) Is hiring for growth and engineering roles (signoz.io)",https://signoz.io/careers,N/A
UK government replaces Palantir software with internally-built refugee system (bbc.com),vote?id=48142251&how=up&goto=news,439 points
A few words on DS4 (antirez.com),vote?id=48142108&how=up&goto=news,386 points
"Show HN: Find the best local LLM for your hardware, ranked by benchmarks (github.com/andyyyy64)",vote?id=48146369&how=up&goto=news,262 points
Details of the Daring Airdrop at Tristan Da Cunha (tristandc.com),vote?id=48144380&how=up&goto=news,217 points
Building ML framework with Rust and Category Theory (hghalebi.github.io),vote?id=48137629&how=up&goto=news,73 points
NanoTDB – Golang Append-Only Time Series DB (github.com/aymanhs),vote?id=48146877&how=up&goto=news,22 points
RTX 5090 and M4 MacBook Air: Can It Game? (scottjg.com),vote?id=48137145&how=up&goto=news,653 points
Ask HN: How to be SOC2 Type 2 compliant as a solo-entreprenuer?,vote?id=48145524&how=up&goto=news,44 points
First public macOS kernel memory corruption exploit on Apple M5 (calif.io),vote?id=48139219&how=up&goto=news,407 points
Codex is now in the ChatGPT mobile app (openai.com),vote?id=48140529&how=up&goto=news,416 points
Gyroflow: Video stabilization using gyroscope data (github.com/gyroflow),vote?id=48107766&how=up&goto=news,139 points
New Nginx Exploit (github.com/depthfirstdisclosures),vote?id=48138268&how=up&goto=news,411 points
Welcome to the Strip Mining Era of OSS Security (metabase.com),vote?id=48147339&how=up&goto=news,76 points
Claude for Legal (github.com/anthropics),vote?id=48141234&how=up&goto=news,164 points
Mullvad exit IPs are surprisingly identifying (tmctmt.com),vote?id=48143880&how=up&goto=news,514 points
Tesla Wall Connector bootloader bypasses the firmware downgrade ratchet (synacktiv.com),vote?id=48140953&how=up&goto=news,116 points
