headline,link,score
Claude for Small Business (anthropic.com),vote?id=48130950&how=up&goto=news,49 points
Scorched Earth 2000 – Web (scorch2000.com),vote?id=48129694&how=up&goto=news,174 points
Cisco workforce reductions (cisco.com),vote?id=48130123&how=up&goto=news,97 points
Linux gaming is faster because Windows APIs are becoming Linux kernel features (xda-developers.com),vote?id=48087887&how=up&goto=news,597 points
Setting up a free *.city.state.us locality domain (2025) (fredchan.org),vote?id=48122635&how=up&goto=news,532 points
A History of IDEs at Google (le-brun.eu),vote?id=48073979&how=up&goto=news,320 points
Arena AI Model ELO History (mayerwin.github.io),vote?id=48130711&how=up&goto=news,4 points
"MacBook Neo Deep Dive: Benchmarks, Wafer Economics, and the 8GB Gamble (jdhodges.com)",vote?id=48125617&how=up&goto=news,154 points
Show HN: Nibble (github.com/glouw),vote?id=48130186&how=up&goto=news,21 points
The Emacsification of Software (sockpuppet.org),vote?id=48118727&how=up&goto=news,237 points
Chess puzzle I found in my dad's old book (ardoedo.it),vote?id=48096760&how=up&goto=news,127 points
Twin brothers wipe 96 government databases minutes after being fired (arstechnica.com),vote?id=48115438&how=up&goto=news,359 points
"Princeton mandates proctoring for in-person exams, upending 133 year precedent (dailyprincetonian.com)",vote?id=48126848&how=up&goto=news,291 points
Avoiding and reducing microplastic false positives from dry glove contact (rsc.org),vote?id=48129934&how=up&goto=news,13 points
Microsoft BitLocker – YellowKey zero-day exploit (tomshardware.com),vote?id=48130519&how=up&goto=news,49 points
AEPs: API Enhancement Proposals (github.com/aep-dev),vote?id=48107619&how=up&goto=news,11 points
Xs of Y – roguelike that names itself every run. Written in 4kLoC (github.com/nooga),vote?id=48080755&how=up&goto=news,170 points
Launch HN: Ardent (YC P26) – Postgres sandboxes in seconds with zero migration (tryardent.com),vote?id=48124436&how=up&goto=news,80 points
The US is winning the AI race where it matters most: commercialization (avkcode.github.io),vote?id=48121929&how=up&goto=news,180 points
Golden Testing a CAD Library (doscienceto.it),vote?id=48099347&how=up&goto=news,4 points
Marco Polo: Finding a friend with only distance and motion (jackhogan.me),vote?id=48095782&how=up&goto=news,50 points
How can Apple deal with the memory shortage? (asymco.com),vote?id=48094986&how=up&goto=news,74 points
Heritability of human life span is ~50% when heritability is redefined (dynomight.net),vote?id=48109772&how=up&goto=news,80 points
The other half of AI safety (personalaisafety.com),vote?id=48129561&how=up&goto=news,54 points
Reverting the incremental GC in Python 3.14 and 3.15 (python.org),vote?id=48077924&how=up&goto=news,212 points
S-100 Virtual Workbench (grantmestrength.github.io),vote?id=48123546&how=up&goto=news,111 points
Mystery Microsoft bug leaker keeps the zero-days coming (theregister.com),vote?id=48129789&how=up&goto=news,89 points
Show HN: Needle: We Distilled Gemini Tool Calling into a 26M Model (github.com/cactus-compute),vote?id=48111896&how=up&goto=news,654 points
A sentimental tour of late 1990s and early 2000s hacking tools (andreafortuna.org),vote?id=48125557&how=up&goto=news,57 points
Preserving Fisher-Price Pixter (dmitry.gr),vote?id=48091812&how=up&goto=news,218 points
